map,neighbor,p RAAS,RAAS,p AAS,AAS,p inv,Invasion,p tc,TC,p ins,Insurgency,p des,Destruction
FoolsRoad,2,0.09687931909498006,1.2459944993142242,0.04627693497694694,0.2659944993142245,0.05724897042191646,0.2659944993142249,0,0,0,0,0.2013521100444515,-0.38400550068577544
Narva,1,0.05557680901233616,0.0032047167597049064,0.07315617021687609,0.6932047167597049,0.036697054211685516,-0.44679528324029505,0.17302932884794717,0.1032047167597053,0,0,0.2757749334463422,-0.626795283240295
Fallujah,5,0.07053237204485442,8.111979413923873,0.023250760918451064,1.3919794139238733,0.03848562576032353,3.65197941392387,0,0,0.11315594164582429,4.701979413923869,0,0
Belaya,2,0.06360589193774888,0.9759944993142244,0.0757824506165997,1.6059944993142268,0.064553347847117,0.6359944993142239,0,0,0,0,0,0
Anvil,2,0.023553742938675452,-0.4140055006857757,0.010709850240436298,-0.7340055006857755,0.0837768807847759,0.24599449931422443,0,0,0,0,0,0
Mutaha,5,0.002067132070771494,7.351979413923871,0.06693076870211051,5.711979413923871,0.06812663112602274,1.861979413923887,0.08773936125726413,1.3719794139238712,0,0,0,0
Kamdesh,1,0.034292185385100885,-0.21679528324029526,0.02726289929682648,-0.3367952832402954,0.08109213335892125,0.23320471675970453,0.019882193984985343,-0.7467952832402953,0.07696114068294113,-0.7167952832402951,0,0
AlBasrah,3,0.041745544708841495,1.7524360983933363,0.025869171522949274,0.09243609839333386,0.028537510375432288,0.7224360983933322,0,0,0.10437092718509919,0.47243609839333267,0,0
Kohat,2,0.02123825729118345,-0.7440055006857755,0.06639009970835806,0.6659944993142244,0.0060536757877564865,-0.6340055006857754,0,0,0.08909653931669029,-0.5540055006857754,0,0
Skorpo,5,0.04887876897369511,1.9619794139238784,0.03433387639590595,2.571979413923872,0.020501246032952832,2.6219794139238726,0.08281575358897315,3.4719794139238713,0,0,0,0
GooseBay,2,0.06494140165813136,0.8759944993142244,0.0678051206653939,1.4859944993142271,0.011657058166300168,-0.7540055006857755,0,0,0,0,0,0
